content;Labels
Makin susah biasanya cepet praktis buat kirim uang atau buat top up sesama ovo sekarang malah makin bingung gada tampilan nya;Negative
Aplikasi payah gangguan mulu terlalu mahal adminnya terlalu makan biaya;Negative
Kecewa banget mau Transfer aja harus daftar dulu padahal udh difotoin KTP dan pas waktu milih kecamatan kenapa nggk ada dipencarian;Negative
Mau transfer aja susah banget  Kok gagal Mulu kalau mau transfer gimana sih ini aplikasinya Nyesel banget gua pakai aplikasi ini;Negative
Lumayan bagus apknya;Positive
Sangat memudahkan sekali. Terimakasih ovo;Positive
OVO hari ini tgl 8 mei 2023 kenapa ya buka aplikasi saja kok laamaaaaaaaa banget, gabisa diajak sat set wat wet niihh, gimana dong masa kalah sama e wallet lain yg super cepat? padahal pake WiFi nehh gak pake paketan kuota diperbaiki lagi deh biar pelanggan gak lari ke e wallet lain,promo juga sudah jarang banget lagi btw kalo transfer ke rekening bank jgn pake biaya admin yg terlalu gede dong plisss bintang 2 dulu ya karena lemotnya kalo udah ok aku beri bintang 5 deh;Negative
Kenapa aplikasi nya ga bisa d buka terus? Selalu mentok logo ga bisa login. Mana ada saldonya lagi. Tolong dong di perbaikiin;Negative
Terkadang susah dan tidak menyenangkan seperti layanan sebelah piki sendiri kekurangannya!!;Negative
Saya baru download lagi, saya pikir dari 2019 sampe 2023 untuk upgrade ke premier sudah diperbaiki sistemnya ternyata masih susah, hadeeehhh udah 2023 masih aja Ovo sulit, yasudah hapus lagi, enakan pake Gopay mudah dan cepat;Negative
Ovo sekarang jelek gak kayak dulu, mau masuk susah banget.. bukan malah bagus jadi makin jelek;Negative
Aplikasi paling ribet,lelet,lambat,gak jelas;Negative
Setiap pembayaran anter aja kenapa ya slalalu gagal, bikin mempersulit kurir kalau pake metode pembayaran qris ovo, dan adminnya terlalu besar;Negative
ini apaan si ga jelas aplikasi ampas transfer ke sama ovo ajah gagal terus bangkrut nih aplikasi rusak terus mau masuk ajah susah parah;Negative
Terima kasih sangat membantu sekali dan cepat untuk bertransaksi;Positive
Kenapa makin jelek aja. Tiap masuk arus masukin no. HP.dan pin mana login nya lama. Capek deh.;Negative
Top up dari mitra driver gak masuk2, parah;Negative
Mudah digunakan dan sangat bermanfaat;Positive
Tolong di perbaiki lagi soalnya sering lemot;Negative
Tolong bang aplikasi ovo ini saya salah sandi sampe 3x nunggu 1 jam tambah 1 jam lagi maksudnya gimana ini;Negative
Ini maunya apa sih apk, sudah ganti nomor gegara nomor nya mati, malah yg dikirim kode verifikasi nomor yg lama, padahal butuh urgent, ribet dan bikin emosi;Negative
Heran... Tiap bln asik minta upgrade aja, lama2 kesel jg.;Negative
Aplikasi ribet buka blokir harus tlp CS pakai pulsa terus CS nya bertele tele ngabisin pulsa aja solusi gak ada. Gimana pengguna mau percaya pakai aplikasi kalau urusan dibuat ribet, uang nyangkut gak bnyak tapi sudah tidak memberikan rasa percaya konsumen pada aplikasi ini;Negative
Jangan pake e wallet ini, tf sering gagal, beli pulsa juga gagal mulu. Bintang 1 pun rasanya terlalu tinggi buat aplikasi kek gini. Menjijikan;Negative
Mau login aja berat banget, padahal jaringan internet udah stabil, hadehhhhh;Negative
"Waduh..... Lambat lambat mau buka 10 menit gak bisa"" internet lancar, hubungi via chat lama bales nya... Kacau buka nya tambah bagus malah tambah buruk....";Negative
Transaksi gagal,saldo tetep kepotong parah!!!;Negative
Mantap aplikasi nya, kalo bisa buat masukin foto di upgrade nya di percepat hampir lima jam menunggu, mungkin belum waktunya, Nanti saya coba ulangi lagi siapa tau bisa. Terima kasih;Negative
